	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
UBE2N	1514	698	1921	6926	3472	3167	6646	2693	4283	5124
UBE2O	396	1568	944	2649	1915	1645	733	829	1875	1488
UBE2Q1	525	1201	1451	3165	5594	4008	2697	1992	4236	4752
UBE2Q2	440	228	909	2635	3293	1329	4415	2031	1695	1227
UBE2Q2P1	0	2	14	38	21	53	16	21	40	4
UBE2Q2P2	10	5	9	159	70	53	25	28	81	23
UBE2Q2P6	991	230	1945	11614	9239	2652	14129	3128	3210	5252
UBE2QL1	18	14	104	56	49	135	337	228	83	69
UBE2R2	1195	1817	2160	6160	6688	3376	2737	2521	3380	4266
UBE2S	518	620	580	6237	1154	563	482	227	634	732
UBE2SP1	12	14	16	76	30	12	3	10	10	35
UBE2T	332	258	392	1890	853	420	631	249	554	743
UBE2V1	91	42	159	636	985	336	348	201	383	418
UBE2V2	561	109	634	1691	2987	1584	3187	1870	1955	2032
UBE2W	205	81	360	2112	1587	1007	1676	786	1009	1005
UBE2Z	1106	1179	2458	8113	6708	5103	5025	3309	5568	7249
UBE3A	528	243	902	4226	4404	3176	2942	2347	3755	3831
UBE3B	471	814	1166	2421	1669	3873	1952	1779	3454	3786
UBE3C	1355	1759	3021	6656	4847	4804	3644	2927	4930	4586
UBE3D	42	96	96	292	325	107	184	95	126	100
UBE4A	263	193	535	1762	1496	2239	1338	1170	2434	2462
UBE4B	496	555	1125	1919	2392	3109	1840	2303	3196	3369
UBFD1	455	582	1978	2346	3922	1658	1741	1255	2191	2015
UBIAD1	304	734	772	745	874	1198	787	627	1409	987
UBL3	248	295	835	1480	9421	4537	3082	2933	4750	4233
UBL4A	1211	2583	2315	4463	3344	2016	2633	1691	2175	2402
UBL5	2344	2142	3092	6617	7432	4019	7790	3224	4421	5250
UBL7	554	484	1005	2003	2400	1909	1761	1527	2134	1838
UBL7-AS1	38	18	39	188	146	156	118	66	162	111
UBLCP1	199	55	299	920	1794	845	1494	882	1369	1090
UBN1	433	1020	2146	1942	4068	4069	1602	1793	4421	4373
UBN2	105	171	310	1286	1121	1141	438	544	1194	948
UBOX5	117	452	298	897	462	947	530	471	771	690
UBP1	764	839	1539	2027	4908	4798	3917	3027	4786	5801
UBQLN1	1244	1106	2460	10077	8748	5209	5225	3344	6169	6984
UBQLN2	491	740	969	3063	2764	1886	1687	1761	2347	2378
UBQLN4	550	1194	1086	1955	3563	1861	1429	1113	2347	1726
UBR1	293	110	442	1220	1565	1489	1437	1196	1968	1940
UBR2	460	439	821	1570	2969	3199	2705	2017	3436	8246
UBR3	185	217	520	1209	2076	1831	1349	1645	2332	2348
UBR4	816	2834	2895	6400	4610	10957	2822	3946	10735	10156
UBR5	956	818	1630	2677	5612	3642	2533	2698	5048	3868
UBR7	339	283	745	1622	986	2035	1805	1273	2757	2910
UBTD1	117	147	404	518	576	130	243	189	141	111
UBTD2	244	153	638	649	1443	1443	1302	1083	1386	1960
UBTF	976	2264	2667	3668	6136	7223	3567	3438	8735	6108
UBXN1	1212	1609	2591	3814	7636	3861	4044	2993	4290	3936
UBXN10	50	10	687	906	321	1114	1107	1101	614	711
UBXN11	194	469	655	1708	389	614	350	223	496	435
UBXN2A	173	150	333	1497	2289	965	1132	662	928	989
UBXN2B	247	89	433	2122	1296	1053	1128	833	1379	1409
UBXN4	1063	698	1725	8802	9814	5704	7710	3468	7277	7317
UBXN6	1238	3369	3098	5572	7329	5033	4775	3682	4901	5082
UBXN7	189	160	395	2100	2123	1407	882	1138	2107	1369
UBXN8	126	28	139	361	267	377	550	258	413	395
UCA1	113	24	142	144	1701	24	197	62	51	11
UCHL1	86	30	528	446	196	294	2705	1628	702	431
UCHL3	226	94	174	378	1322	324	479	214	375	503
UCHL5	356	187	480	1459	1788	1263	1813	978	1862	1672
UCK1	443	697	875	1442	1897	1288	1767	1245	1394	1360
UCK2	718	1684	1465	3365	2803	4640	1460	1027	3495	2540
UCKL1	1193	5322	1997	3246	5010	2142	1054	662	1434	991
UCKL1-AS1	11	49	36	30	69	65	4	5	36	13
UCN	22	26	7	60	12	9	5	7	8	3
UCP2	1270	1812	1708	5573	649	3370	3074	1828	5646	3847
UCP3	6	16	13	49	25	63	22	25	46	27
UEVLD	272	171	382	1028	1906	1706	1948	1090	1685	2445
UFC1	1207	1895	2423	4707	9745	4507	5454	2741	4599	4442
UFD1L	810	961	1673	4738	1862	2218	3409	1348	2369	3115
UFL1	267	143	510	866	4074	1837	2043	1618	2474	2110
UFM1	756	440	902	4289	12613	3225	4536	2170	3262	3228
UFSP1	66	60	129	185	131	74	67	35	67	64
UFSP2	228	75	275	1209	1110	752	1067	860	880	827
UGCG	493	152	776	4804	1792	2594	2474	1481	2248	2945
UGDH	765	226	838	3103	2488	9737	5598	5738	8192	17176
UGDH-AS1	3	10	19	54	128	102	93	57	101	66
UGGT1	967	1445	1467	2969	5364	3996	2371	1937	6555	6947
UGGT2	258	171	269	541	3661	589	624	408	511	483
UGP2	1072	326	1875	4039	4277	16163	15110	10593	13863	32064
UGT1A10	35	17	54	52	6	1949	633	1046	1292	3727
UGT1A6	31	1	3	54	24	19	11	14	11	10
UGT2A3	89	6	130	63	13	6466	3211	2411	5653	4732
UGT2B15	57	45	4	51	14	27	1740	1436	1447	2629
UGT2B17	0	478	572	14	15	0	28127	22743	22462	37028
UGT2B7	15	5	77	32	7	340	230	77	543	182
UGT8	425	305	664	3575	2789	3678	1888	1300	3141	4139
UHMK1	412	350	991	5207	6651	4213	4261	2753	5655	6342
UHRF1	167	1003	531	628	519	325	255	149	869	631
UHRF1BP1	156	273	463	923	1095	914	646	474	1174	836
UHRF1BP1L	113	55	237	1145	559	875	1058	709	921	1236
UHRF2	491	312	596	3234	2310	1279	1126	845	1546	856
UIMC1	204	196	640	1485	1600	955	1307	677	1041	760
ULBP1	11	17	4	64	70	1	5	3	3	2
ULBP2	14	91	37	790	107	3	6	4	7	6
ULBP3	44	59	36	70	120	14	11	6	23	20
ULK1	585	1288	1226	2221	1509	2185	1020	1340	1913	1104
ULK2	87	164	362	412	1034	599	917	781	598	333
ULK3	427	707	1184	2530	2088	3498	1312	956	2321	3031
ULK4	37	39	170	198	182	99	126	59	116	127
UMAD1	201	89	319	1218	1042	1104	946	685	1025	955
UMODL1	15	98	5	13	23	36	3	5	38	11
UMPS	563	531	952	2284	2530	1289	1487	847	1673	1741
UNC119	295	550	439	3073	1693	1081	971	520	1092	660
UNC119B	414	565	664	3511	1624	1696	1277	1363	2091	1745
UNC13A	5	9	17	20	44	53	48	46	106	27
