	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
A1CF	211	113	239	688	1592	3025	819	1194	2959	3319
A2M	1676	1594	15867	13589	9684	22198	21781	33342	24265	25750
A4GALT	152	42	481	1063	158	435	771	710	603	291
AAAS	681	991	890	1882	2984	1790	1203	981	1850	1920
AACS	869	2471	996	2617	1488	2488	1857	964	2921	2177
AADACP1	41	2	212	285	335	52	48	55	97	121
AADAT	92	57	68	100	322	128	254	130	209	201
AAED1	79	35	178	583	266	276	473	283	207	220
AAGAB	687	438	1118	3611	452	2715	3141	1381	3221	3809
AAK1	864	178	810	999	1260	2340	558	824	2077	2296
AAMDC	325	210	496	827	812	691	737	538	533	577
AAMP	2140	4039	4279	5889	8349	6909	6365	3994	7304	9319
AAR2	590	769	1333	2343	6040	1958	1872	1511	2042	1813
AARS	1611	5954	3839	8199	8750	3490	4020	3924	5540	6084
AARS2	168	736	374	751	921	1071	459	435	1104	1065
AARSD1	43	64	50	467	174	176	110	66	146	113
AASDH	134	48	186	842	456	475	358	278	514	476
AASDHPPT	271	136	391	1571	2344	911	1063	799	1175	933
AASS	27	17	56	203	107	186	125	114	170	110
AATBC	11	33	12	39	23	17	29	18	43	25
AATF	974	1027	1383	3098	3840	2209	1312	1312	2637	2423
AATK	70	25	156	626	881	1347	230	373	629	87
AB019441.29	23	39	50	365	119	80	184	63	115	84
ABALON	20	11	74	54	151	17	22	14	15	15
ABAT	265	320	493	204	6602	2094	417	962	1793	3022
ABCA1	146	112	693	1443	510	1660	857	1518	2110	2183
ABCA10	3	2	59	126	43	221	65	68	189	34
ABCA11P	5	0	2	44	96	34	38	34	60	24
ABCA13	10	1	8	54	19	15	10	47	12	53
ABCA2	950	4395	1997	5085	8134	5627	792	1271	3749	1030
ABCA3	37	559	524	1769	439	589	452	733	657	265
ABCA5	120	36	280	1123	1134	2749	573	694	1957	1462
ABCA6	20	2	80	74	16	194	357	432	283	99
ABCA7	315	1520	904	1395	1428	993	166	193	1348	618
ABCA8	10	3	323	59	44	1763	1562	1985	2259	776
ABCA9	3	0	83	69	24	169	491	391	165	93
ABCB1	816	63	1191	323	1665	6939	775	2478	6042	6527
ABCB10	225	261	397	799	1700	1322	1276	818	1391	1744
ABCB4	14	2	49	46	220	114	56	54	177	65
ABCB6	60	254	45	122	189	114	93	84	96	131
ABCB7	434	361	666	1794	1093	1112	929	758	1098	1153
ABCB8	692	1376	1670	1868	1574	2154	1258	959	1556	2187
ABCB9	89	170	272	284	197	299	120	169	295	259
ABCC1	531	1101	2650	2794	3536	1814	1212	1421	2244	2112
ABCC10	331	1886	841	933	2032	1630	535	555	1332	1163
ABCC13	8	2	19	5	4	434	321	154	263	522
ABCC2	65	22	18	209	722	41	11	20	49	14
ABCC3	1764	4653	5200	3799	1680	19801	2583	4110	13331	11671
ABCC4	180	240	343	859	2570	1348	1182	1119	1823	875
ABCC5	227	582	633	1134	1285	1806	625	902	1908	566
ABCC6	88	159	185	248	668	1680	289	237	977	1173
ABCC6P1	16	5	19	67	332	180	136	39	157	79
ABCC6P2	9	12	12	23	143	72	56	40	90	58
ABCC9	43	5	217	199	154	101	530	929	79	53
ABCD1	246	928	676	780	861	1173	601	775	902	1069
ABCD3	793	450	738	2803	1722	5635	3558	3001	5616	8753
ABCD4	498	805	948	3996	923	2671	1606	1029	2029	2190
ABCE1	615	188	801	3672	5889	1680	2844	1331	2517	2320
ABCF1	1085	2033	1773	2190	4813	4663	2335	2314	4603	4915
ABCF2	1061	1640	1953	4294	4122	2709	2264	1490	2620	2495
ABCF3	658	1558	1369	3097	2531	2761	1542	1193	2534	2863
ABCG1	517	1862	1787	1739	723	2130	730	1179	3451	2929
ABCG2	15	7	74	214	92	4009	298	740	2110	3183
ABHD10	367	343	448	1990	1649	1003	1616	900	1362	1198
ABHD11	1355	2088	3221	7102	3281	3929	2837	1271	3078	3639
ABHD11-AS1	212	104	753	1033	474	701	1002	355	298	1060
ABHD12	1416	2657	1926	4731	2970	3355	1942	1908	3495	4496
ABHD13	197	86	277	711	3180	939	1241	717	1098	1143
ABHD14A	240	247	224	405	312	363	507	300	423	295
ABHD14B	1144	2722	2265	1706	7726	6317	3922	3067	6045	4197
ABHD15	146	335	467	687	842	1443	414	548	1263	1251
ABHD16A	93	105	174	313	472	489	435	186	421	401
ABHD17A	384	2722	890	1939	1537	1652	1219	850	1351	1531
ABHD17B	187	124	319	1973	1278	1799	1087	664	1274	1170
ABHD17C	1090	1383	2552	6097	8007	6703	3536	2906	5973	11614
ABHD2	2434	2366	11716	3871	14646	6078	3148	3309	7597	10934
ABHD3	236	183	521	2078	781	4838	4040	2242	5153	10020
ABHD4	407	286	691	5431	1318	1443	1095	1454	1330	1247
ABHD5	137	106	292	575	403	901	841	720	809	1642
ABHD6	188	237	412	467	585	1361	1101	829	969	1688
ABHD8	80	88	278	453	578	280	462	424	405	220
ABI1	822	977	1462	7742	6213	3442	4274	2504	4431	5460
ABI2	238	164	420	939	2951	1051	1440	1358	1218	779
ABI3	93	139	457	752	213	638	699	404	1136	1234
ABI3BP	61	21	332	281	151	2231	1616	2508	2663	815
ABL1	809	2281	2719	4364	5821	7987	4876	5331	6645	7130
ABL2	182	277	531	936	1271	900	500	508	869	680
ABLIM1	898	2948	2016	4430	10068	8643	3658	4901	11722	10066
ABLIM2	275	403	837	167	3621	614	293	232	588	745
ABLIM3	66	90	596	371	141	531	673	550	498	289
ABO	1025	2886	974	498	1358	12690	1055	1918	9942	2502
ABR	1582	4752	3255	8068	10648	15800	4060	5015	12538	13863
ABRACL	650	382	937	4435	3761	2743	2606	1482	2261	3589
ABT1	748	1028	1321	2162	2871	1667	2139	1006	1588	1536
ABTB1	322	575	1199	3526	2142	1233	874	1154	1238	516
ABTB2	109	836	1054	1146	2324	1828	361	235	1251	1596
AC000068.5	1	3	7	9	39	34	17	16	36	26
AC000089.3	8	45	16	124	66	46	64	20	266	27
AC000123.2	17	18	26	53	108	124	62	57	156	103
AC000123.3	3	0	16	26	8	19	4	5	9	13
AC000123.4	2	2	13	33	15	28	7	13	29	27
AC002116.7	12	22	10	106	23	19	20	1	15	21
AC002310.12	25	11	26	89	43	44	52	35	67	35
AC002310.14	13	28	75	30	109	298	38	34	138	130
AC002398.13	3	1	4	28	9	25	11	9	19	17
AC002467.7	43	28	45	125	239	118	77	88	83	110
AC003075.4	3	2	14	43	24	14	16	9	12	10
AC004067.5	0	2	4	24	10	10	14	7	29	19
AC004076.5	4	5	6	24	29	28	7	10	16	5
AC004166.6	0	4	12	38	19	8	18	17	23	9
AC004381.6	46	28	90	273	107	170	153	106	160	255
AC004447.2	70	257	157	293	348	465	82	82	374	190
AC004453.8	92	303	135	180	114	46	120	50	77	63
AC004540.5	10	6	16	27	24	25	20	20	29	12
AC004893.11	26	35	64	149	75	207	60	64	225	104
AC004951.5	6	9	5	28	16	22	13	20	24	13
AC004967.7	71	18	72	177	160	78	53	31	66	46
AC004980.7	22	18	45	137	116	49	40	37	87	41
AC004987.9	5	22	26	35	38	38	41	31	59	72
AC005076.5	11	5	16	57	35	16	21	14	20	13
AC005077.12	4	4	6	42	24	33	10	16	58	25
AC005077.14	41	48	41	121	50	191	31	46	245	76
AC005083.1	31	13	30	167	270	65	30	35	84	49
AC005154.6	187	195	302	611	617	939	337	305	670	345
AC005224.2	15	3	7	30	12	29	22	15	35	12
AC005229.1	2	3	12	56	39	28	36	27	25	26
AC005253.2	8	21	21	97	52	50	38	12	70	30
AC005336.4	12	5	17	49	134	39	1	0	85	84
AC005355.2	87	89	180	301	242	357	399	196	354	456
AC005519.4	1	16	8	59	10	31	14	14	20	9
AC005550.3	14	3	20	985	120	171	139	131	192	239
AC005562.1	16	7	21	188	92	64	80	60	93	76
AC005618.6	3	21	15	6	174	11	42	23	15	8
AC005682.5	9	1	12	103	7	23	94	60	104	21
AC005785.2	0	30	17	29	24	22	8	7	19	8
AC006042.6	14	22	25	63	49	37	10	11	41	18
AC006126.4	6	12	18	26	33	38	3	12	43	15
AC006128.2	6	87	43	73	63	57	32	15	50	14
AC006277.3	7	7	4	66	53	14	8	10	20	12
AC006486.10	5	5	6	31	11	22	11	5	16	30
AC006547.13	20	23	40	115	65	118	80	52	111	76
AC006978.6	78	84	133	282	184	446	195	195	333	517
AC007128.1	14	7	7	96	44	1	0	0	6	1
AC007191.4	30	41	25	194	270	65	22	18	99	27
AC007228.9	6	0	37	49	43	29	27	25	55	36
AC007238.1	28	16	76	11	46	11	14	16	28	23
AC007246.3	61	30	126	365	379	364	423	228	354	286
AC007255.8	65	24	38	132	126	164	79	49	114	131
AC007292.3	6	15	11	26	21	25	0	5	15	12
AC007292.6	2	21	9	13	21	57	8	9	26	23
AC007318.5	33	97	46	154	196	173	246	72	116	130
AC007383.3	6	4	18	39	251	80	76	48	109	46
AC007405.6	29	25	12	29	144	13	30	35	16	13
AC007773.2	3	9	6	37	45	5	8	4	15	4
AC007969.5	126	409	232	446	308	190	359	131	263	114
AC008079.10	6	21	11	67	10	49	12	7	35	28
AC008746.12	14	54	14	54	46	19	1	6	18	4
AC009005.2	27	10	61	113	35	65	97	39	71	58
AC009014.3	73	221	186	0	63	620	385	180	712	817
AC009120.3	4	20	11	15	34	36	14	10	30	8
AC009120.6	10	75	63	123	186	194	54	50	133	65
AC009133.12	106	311	506	156	270	1206	422	206	560	1413
AC009237.8	5	2	14	8	80	56	38	47	104	45
AC009245.3	5	18	12	34	23	6	24	15	13	13
AC009299.3	42	2	17	37	279	109	152	46	102	52
AC009303.2	10	4	14	91	68	56	58	45	51	51
AC009403.2	18	57	60	201	417	112	116	56	171	90
AC009404.2	18	73	23	126	52	40	24	32	41	17
AC009506.1	25	14	68	122	216	159	171	127	152	89
AC009948.5	12	9	56	146	176	112	175	126	155	83
AC009961.3	7	3	9	13	17	26	36	14	17	25
AC010468.1	12	16	21	130	37	29	54	18	16	21
AC010642.1	2	3	5	102	29	19	12	1	15	15
AC010733.5	0	5	7	33	27	19	10	4	29	11
AC010761.8	26	27	45	155	43	55	22	21	53	42
AC010976.2	9	8	14	103	25	30	9	8	34	20
AC011290.5	9	13	24	43	31	9	10	5	18	5
AC011298.2	11	3	4	73	29	86	29	23	33	34
AC011747.4	18	6	25	284	91	109	44	34	136	44
AC011899.9	12	9	144	60	25	76	80	43	102	173
AC012146.7	23	1	6	71	30	37	78	35	59	30
AC012314.8	15	56	22	66	15	47	11	11	44	12
AC012358.4	5	4	8	22	34	34	31	25	51	19
AC012360.6	9	9	15	23	21	119	14	9	30	19
AC015849.19	5	11	2	43	19	33	4	14	43	27
AC016292.3	4	27	5	28	26	22	38	23	27	17
AC016708.2	24	53	81	92	21	7	30	11	14	6
AC016734.2	4	8	13	15	38	33	51	9	15	45
AC016735.1	8	6	46	82	77	21	18	13	26	20
AC016738.4	2	36	13	47	19	31	7	1	18	8
AC016739.2	200	801	271	356	142	49	133	67	93	125
AC016747.3	3	4	45	98	40	55	120	87	133	60
AC016831.7	96	24	96	21	242	73	57	6	190	11
AC017074.2	13	10	9	3	166	57	34	24	65	79
AC018738.2	5	15	3	564	378	392	132	203	233	102
AC018766.4	4	93	23	47	22	71	3	6	33	4
AC018804.7	46	20	19	7	21	226	41	60	52	99
AC021218.2	395	309	712	1998	1407	139	15	83	346	282
AC022007.5	17	16	35	56	94	78	46	50	75	55
AC022210.2	9	78	11	47	11	8	8	3	11	21
AC024560.3	63	233	147	698	861	682	296	296	706	390
AC024592.9	19	28	21	41	53	97	11	36	56	116
AC025171.1	6	9	11	60	37	43	55	18	96	23
AC025335.1	30	73	37	898	388	118	142	101	167	65
AC026271.5	9	3	7	83	176	34	104	84	56	101
AC026471.6	8	4	16	198	48	44	26	15	23	18
AC027601.1	7	231	47	70	26	78	10	7	60	17
AC027612.6	67	57	100	40	249	96	128	84	58	107
AC034220.3	11	59	39	56	138	340	62	62	221	97
AC046143.3	7	18	38	62	195	115	76	30	84	78
AC053503.4	14	1	4	13	8	24	7	10	31	16
AC058791.1	68	17	81	150	178	33	33	7	33	36
AC062029.1	17	9	29	118	107	64	44	58	154	49
AC068282.3	22	3	19	88	57	35	28	27	30	43
AC068580.6	23	43	62	130	39	104	29	14	65	100
AC069213.1	51	368	92	70	1551	306	120	35	555	264
AC069282.6	6	6	37	141	93	90	33	41	74	98
AC073254.1	14	10	15	15	36	98	47	48	80	73
AC073283.4	12	22	22	47	169	325	153	103	160	228
AC074117.10	52	71	76	326	583	280	85	76	240	113
AC074212.5	13	31	21	53	50	59	10	10	30	18
AC074212.6	4	16	13	61	22	28	6	11	15	14
AC074286.1	8	12	23	95	88	58	60	40	82	39
AC074289.1	47	5	39	38	15	44	71	38	113	15
AC079250.1	14	73	21	139	39	21	59	21	18	38
AC079807.2	5	13	9	50	53	29	23	18	50	26
AC079922.3	10	33	32	87	60	101	42	35	71	77
AC083843.1	30	30	77	268	139	178	83	81	192	159
AC083899.3	4	11	8	84	149	51	59	31	87	63
AC087491.2	7	32	29	52	48	72	54	30	66	46
AC090587.2	0	13	14	22	22	40	8	8	35	16
AC091729.9	64	22	90	141	72	91	156	55	66	51
AC092066.1	68	172	74	252	615	523	115	101	379	164
AC092171.4	75	1199	226	288	373	443	163	202	396	491
AC093110.3	7	10	14	69	9	107	37	43	96	35
AC093162.5	37	83	24	125	284	173	21	22	130	62
AC093323.3	63	65	399	321	730	617	520	348	658	394
AC093495.4	3	10	21	38	24	59	27	52	62	20
AC093620.5	0	1	11	19	98	26	8	4	11	5
AC093627.10	6	3	42	247	25	47	92	68	49	35
AC093627.9	5	4	13	19	47	33	12	20	23	21
AC093642.3	2	12	9	11	8	111	23	8	198	24
AC093642.5	3	3	8	138	103	93	63	36	98	30
AC093673.5	70	28	175	316	377	91	172	179	100	61
AC093724.2	13	47	36	30	62	21	17	15	6	20
AC093818.1	22	3	27	96	49	99	45	50	100	102
AC093838.4	117	424	222	1335	738	711	297	180	589	319
AC096772.6	9	8	38	62	143	242	74	125	156	109
AC097662.2	4	4	7	19	57	25	36	19	30	28
AC098614.2	18	23	69	44	55	33	109	41	49	25
AC099850.1	19	7	10	29	38	21	59	25	22	10
AC104534.2	5	10	13	52	18	25	10	9	31	54
AC104667.3	42	4	19	229	121	17	29	9	58	15
AC105760.2	4	0	4	11	42	22	16	21	20	8
AC106876.2	38	65	103	114	903	263	151	87	195	203
AC107983.4	2	30	3	93	55	30	31	18	25	14
AC108488.4	9	5	25	593	34	44	81	68	39	19
AC112497.1	15	60	25	37	44	35	21	23	30	38
AC113189.5	37	254	72	662	209	103	186	169	128	49
AC114271.2	4	27	15	23	58	57	29	25	63	53
AC114494.1	14	61	28	35	2	72	10	4	25	29
AC114730.3	30	64	104	347	243	1198	215	137	1051	410
AC116366.6	3	16	38	62	41	110	116	33	113	164
AC125232.1	15	36	34	228	93	59	37	21	38	46
AC133528.2	39	184	69	99	153	189	73	32	119	63
AC133644.2	16	3	5	99	9	4	27	9	31	11
AC137932.4	12	65	35	55	36	57	9	8	37	13
AC141586.5	12	50	92	110	235	102	28	33	90	30
AC142472.6	7	3	12	43	53	43	21	24	32	32
AC144530.1	6	15	14	178	38	77	179	72	159	83
AC144652.1	18	16	21	89	164	24	60	20	54	39
AC144831.1	2	3	29	14	8	213	28	31	142	70
AC147651.4	4	1	24	44	39	26	35	9	42	21
AC156455.1	78	106	118	566	27	27	118	75	16	24
AC245100.1	27	8	25	45	134	50	59	20	52	49
AC253572.1	9	29	3	84	36	36	31	19	35	7
ACAA1	821	1127	1660	1232	2283	5729	2545	1888	4288	4907
ACAA2	2117	1080	2702	6293	3475	13584	8309	9924	10699	25270
ACACA	651	1586	1209	2100	2802	2294	1574	1284	2833	2193
ACACB	82	919	934	490	660	3647	1537	2512	2154	2474
ACAD10	314	498	736	1319	636	2443	595	971	1925	1965
ACAD8	266	437	563	1285	841	1646	1099	915	1633	1535
ACAD9	481	1323	1059	2203	2099	1792	1388	1141	2002	2053
ACADM	331	98	461	1901	1822	3366	3422	3416	3185	3311
ACADS	856	1247	1304	2934	726	11582	4443	4553	7560	12745
ACADSB	185	173	347	991	1067	2941	1888	1381	2833	2107
ACADVL	5356	4741	5626	24939	13333	25065	11440	10805	19780	23097
ACAN	97	94	125	81	145	14	7	13	58	19
ACAP1	92	40	258	1036	205	784	454	265	1474	687
ACAP2	236	218	608	3342	2082	2739	2057	1760	3867	4177
ACAP3	450	1314	1554	1443	2169	2002	632	677	1453	780
ACAT1	1297	706	1325	2515	2437	6659	4692	4066	5786	7312
ACAT2	658	820	857	1026	2134	1712	4010	1215	1410	3316
ACBD3	444	546	933	3604	3750	2767	2880	1664	3339	3767
ACBD4	187	217	352	597	803	915	586	531	639	361
ACBD5	409	304	1158	7668	2874	2542	2186	1365	2983	2680
ACBD7	22	8	3	214	84	11	3	3	16	18
ACCS	116	234	246	223	469	635	160	144	342	96
ACD	294	849	953	1739	1458	604	561	463	781	603
ACE	146	1316	639	1308	2457	951	703	935	928	409
ACE2	671	556	371	293	376	1185	425	1097	1150	2567
ACER2	20	32	113	807	347	270	73	53	380	145
ACER3	342	200	432	1270	1063	1994	1601	808	1601	2626
ACHE	139	134	739	834	627	1179	1283	817	973	1891
ACIN1	1264	1837	2685	5236	4768	8316	3210	3244	7757	6725
ACKR1	34	35	1155	290	378	1084	2057	1792	1128	681
ACKR2	20	4	39	10	31	231	137	72	167	636
ACKR3	438	409	917	1073	2080	2383	899	947	907	473
ACLY	2107	4466	3706	8209	12204	6177	4502	3548	8630	7122
ACN9	308	214	360	2288	280	537	1353	519	613	577
ACO1	628	1907	1238	2997	2287	3296	3138	2328	3258	6280
ACO2	1498	6637	3459	5528	3867	13507	5871	6155	11456	14142
ACOT1	29	22	315	540	172	139	259	85	102	234
ACOT11	315	1209	405	681	1024	3650	955	1298	2655	2445
ACOT13	473	336	584	1019	1154	1924	2025	1279	2347	2306
ACOT2	259	167	819	2079	725	1079	1197	704	1010	988
ACOT4	42	28	71	309	300	190	173	108	141	447
ACOT7	1050	3842	3191	4475	2132	2996	2723	1717	2657	6219
ACOT8	524	1109	956	1731	2836	1916	1292	766	1509	2097
ACOT9	751	481	1623	2329	2156	1012	1877	943	1048	1045
ACOX1	1203	1353	2073	5577	4747	11838	2899	4859	7846	22946
ACOX2	464	806	438	1287	3938	818	607	613	561	565
ACOX3	227	300	398	303	784	1077	869	707	1021	2161
ACP1	1172	1014	1718	7521	7227	2905	3827	2057	3576	3526
ACP2	453	549	1301	1746	1692	2874	2241	1435	2903	3823
ACP5	1009	313	2525	7265	1670	3074	2269	1360	2304	2065
ACP6	292	369	356	1290	1697	828	594	420	632	439
ACPP	124	57	50	720	76	271	416	140	288	289
ACRBP	22	31	90	165	55	112	77	130	127	112
ACRC	13	63	17	139	40	42	15	19	38	18
ACSF2	517	512	1026	2630	797	4700	1083	1650	3290	4649
ACSF3	435	2571	1170	1115	2296	2692	1002	930	2348	2083
ACSL1	441	292	897	2269	2502	1102	2926	1299	933	1063
ACSL3	884	689	1303	3280	5036	4194	4805	2585	4392	5104
ACSL4	427	362	895	5203	4034	841	2770	1645	1355	1545
ACSL5	4512	5285	10583	9364	18107	18535	11571	7979	17752	32991
ACSL6	326	152	869	83	6134	35	74	26	82	65
ACSM1	7	28	24	21	24	44	37	48	48	160
ACSM3	190	168	277	455	238	1548	1725	614	1726	3001
ACSS1	450	3403	846	2945	2131	3836	1829	1430	3979	2576
ACSS2	1690	6621	3708	7621	8885	15265	7279	6275	11512	22991
ACSS3	20	3	94	91	41	86	167	271	89	52
ACTA2	4832	1886	16195	6249	12755	10717	35655	64747	8481	8421
ACTA2-AS1	12	34	140	54	54	100	153	228	88	41
ACTB	119021	358897	229640	221030	196992	275720	368252	324556	252463	374534
ACTBP2	97	673	272	23	25	9	35	27	18	28
ACTC1	12	6	71	33	142	44	118	257	2	28
ACTG1	72653	306141	103671	257815	231235	229350	124267	98596	183544	233377
ACTG2	1983	701	47404	3758	14021	22021	160643	267776	3841	18337
ACTL10	137	411	413	185	370	116	71	56	134	126
ACTL6A	1011	767	1351	5031	5165	1922	3150	1593	2663	2412
ACTN1	3685	7598	14502	8270	10441	9589	17555	30251	8200	8744
ACTN4	6914	46770	24737	55430	71473	46901	21226	21558	43421	61861
ACTR10	519	161	753	4235	1918	1924	3342	2039	2324	2794
ACTR1A	837	1936	3188	4008	5580	6315	5726	5207	5917	7481
ACTR1B	1369	3953	1893	5804	6791	4148	4136	2598	4062	3117
ACTR2	1880	1398	4111	11673	17805	14318	14056	9715	19761	25192
ACTR3	2968	3002	4983	11920	14704	9980	14775	7807	14786	19202
ACTR3B	141	167	230	529	526	222	269	120	301	160
ACTR3C	37	32	59	245	158	173	190	75	173	190
ACTR5	179	372	500	726	1049	457	394	231	406	414
ACTR6	159	47	265	1784	530	701	1297	726	808	1003
ACTR8	220	362	458	829	1606	1000	872	669	1058	895
ACTRT3	16	8	31	223	273	46	68	38	44	58
ACVR1	358	385	786	1088	1511	937	935	918	1016	954
ACVR1B	668	2999	1880	3640	11991	6517	2203	2075	6676	6141
ACVR1C	49	18	67	341	545	952	328	325	595	546
ACVR2A	101	84	240	1015	931	889	536	523	741	1095
ACVR2B	97	107	201	273	817	389	142	269	427	274
ACVR2B-AS1	11	5	24	33	61	44	42	53	59	25
ACVRL1	771	3045	2506	1218	3036	10408	7909	2858	9856	12695
ACY1	200	316	318	378	396	482	265	165	368	425
ACY3	206	176	285	156	375	388	431	131	706	729
ACYP1	140	94	175	813	251	269	241	140	265	211
ACYP2	78	103	217	415	955	247	447	294	395	280
AD000092.3	75	214	77	61	27	6	25	14	19	14
ADA	108	95	155	832	322	175	310	168	448	317
ADAL	42	1	90	168	406	180	354	140	378	280
ADAM10	846	661	1798	4159	6149	5226	2548	2735	5778	6333
ADAM12	289	47	589	981	579	79	19	16	191	30
ADAM15	2178	11245	7577	6614	5337	6176	7016	4108	7155	9862
ADAM17	167	295	409	1888	1449	794	679	507	893	982
ADAM19	494	360	1491	1189	1277	1249	1185	832	2063	714
ADAM22	53	22	88	693	475	446	183	197	388	269
ADAM23	22	3	103	108	85	155	220	223	170	108
ADAM28	91	32	124	733	97	626	393	554	1454	586
ADAM32	35	31	77	35	275	54	76	37	75	17
ADAM33	29	34	640	152	91	819	674	554	336	120
ADAM8	340	324	559	4319	599	459	290	161	491	383
ADAM9	1553	522	4138	5372	20792	5253	6152	4000	5034	4982
ADAMDEC1	214	51	1450	2598	181	20096	6891	5285	18671	11196
ADAMTS1	277	88	1739	469	476	9122	995	2199	3505	1088
ADAMTS10	40	62	261	180	87	202	109	137	236	67
ADAMTS12	198	54	853	894	1191	92	109	155	64	31
ADAMTS13	57	248	59	136	102	307	53	44	176	63
ADAMTS14	96	127	205	325	182	368	52	60	199	93
ADAMTS15	12	662	175	61	33	286	287	237	442	955
ADAMTS16	12	6	141	37	141	48	20	204	33	8
ADAMTS17	13	99	63	83	113	178	28	63	94	126
ADAMTS2	552	243	1612	2762	1024	411	295	290	417	382
ADAMTS3	10	1	27	19	33	21	42	47	34	5
ADAMTS4	323	73	771	862	389	980	203	67	106	117
ADAMTS5	35	18	112	134	253	190	156	304	100	147
ADAMTS6	14	1	67	47	143	21	17	33	28	11
ADAMTS7	137	81	279	277	257	296	100	177	217	116
ADAMTS8	11	43	354	28	34	152	522	520	122	85
ADAMTS9	90	190	305	462	524	290	605	339	372	162
ADAMTSL1	54	79	194	74	105	1070	311	618	864	373
ADAMTSL2	97	339	218	94	982	197	96	114	214	77
ADAMTSL3	13	16	242	77	171	474	1291	1718	456	259
ADAMTSL4	48	135	378	604	166	1550	683	822	713	370
ADAMTSL5	64	73	208	359	732	233	69	68	107	51
ADAP1	507	2757	1975	4023	3191	2857	1146	892	2204	2602
ADAP2	48	39	313	411	173	386	944	345	420	861
ADAR	1599	3595	5533	9276	12516	12108	11558	7046	14930	22901
ADARB1	105	135	341	402	268	651	729	878	680	388
ADAT1	170	373	362	518	970	768	619	402	1138	619
ADAT2	205	188	300	716	484	372	210	116	346	194
ADAT3	97	369	328	256	294	310	90	64	210	298
ADCK1	165	482	359	490	324	778	340	265	534	643
ADCK2	814	1069	1910	1878	1902	2257	1345	1011	2224	2043
ADCK3	757	1940	1682	1845	4917	4462	2345	2557	3859	2723
ADCK4	286	655	577	2176	2153	1444	1247	739	1165	1103
ADCK5	489	1236	592	998	967	1001	388	255	708	686
ADCY1	15	12	36	21	70	180	86	50	214	69
ADCY10P1	30	70	50	242	186	192	30	44	133	70
ADCY2	24	9	92	56	79	113	369	439	87	45
ADCY3	284	2349	1567	2481	3470	1204	953	776	2020	899
ADCY4	113	235	400	521	170	549	169	210	313	178
ADCY5	28	62	475	97	193	1681	1138	1800	1129	647
ADCY6	557	3040	1430	1839	5184	11031	1963	2238	7202	5908
ADCY7	68	1368	339	496	206	773	432	277	1007	507
ADCY9	153	1985	1069	1076	457	4429	1230	1462	2510	4323
ADD1	1675	1603	5358	5719	11240	13348	10773	11316	12402	15327
ADD3	1671	1099	1916	9326	10613	9589	5959	4769	9446	7878
ADD3-AS1	43	51	43	87	128	68	29	32	52	34
ADH1B	32	12	1102	81	41	3196	9939	10037	5119	3756
ADH1C	108	324	1437	349	19	15457	7565	6743	18785	29001
ADH5	2189	825	3251	9149	6271	7002	16566	8139	7847	9679
ADH6	105	54	39	352	30	1044	224	460	822	837
ADHFE1	1	8	58	42	11	272	116	130	196	48
ADI1	1837	1712	2990	8361	7086	4576	4838	3253	5176	4912
ADIPOR1	1005	3197	2415	6187	9388	4562	4124	2591	5051	5483
ADIPOR2	1532	1402	2026	8708	5375	6293	4457	3173	6358	7971
ADIRF-AS1	37	158	83	102	244	106	49	106	101	30
ADK	450	223	289	1758	2617	751	1405	698	775	1082
ADM	814	111	563	3406	429	1841	3196	608	697	1637
ADM2	124	363	79	400	443	354	159	160	554	352
ADM5	13	52	70	86	27	55	54	50	26	16
ADNP	955	1734	2371	4079	10209	3456	2109	2367	4115	3984
ADNP-AS1	4	13	21	52	195	54	24	21	57	43
ADNP2	239	380	403	1858	1140	1525	1039	866	1436	1588
ADO	218	677	610	1312	1866	839	849	713	1008	824
ADORA1	30	22	88	114	43	41	63	40	53	61
ADORA2B	87	364	468	693	1049	513	657	647	563	1946
ADORA3	29	31	103	133	94	289	295	290	356	263
ADPGK	526	295	1133	4113	2659	1929	2340	1005	2104	1987
ADPRH	54	87	210	310	231	342	512	394	544	301
ADPRHL1	94	38	70	213	417	285	126	129	205	155
ADPRHL2	441	397	922	1734	1017	1316	1844	846	1265	1535
ADPRM	79	44	127	1097	371	227	340	242	293	238
ADRA2A	286	653	373	49	249	1334	326	938	761	2733
ADRA2B	9	10	12	54	14	52	12	56	29	16
ADRA2C	99	244	337	118	2655	35	43	53	55	22
ADRB1	5	4	24	40	12	53	81	55	116	101
ADRB2	13	10	68	76	18	121	84	123	109	90
ADRBK1	2797	10214	6389	8641	13284	8593	4634	3394	10334	7377
ADRBK2	95	101	348	614	439	413	526	540	1032	443
ADRM1	2207	4991	4037	5714	13228	4082	4436	2669	4024	5017
ADSL	1369	1348	1624	3042	1441	1838	3151	1523	2195	2214
ADSS	530	607	831	2438	3990	2291	2451	1527	2751	3009
ADSSL1	20	8	76	367	40	160	145	129	182	89
ADTRP	133	106	277	104	109	7915	3247	3694	2627	7288
AEBP1	3101	1156	12657	6958	9102	6020	3461	6649	5753	2958
AEBP2	196	318	358	1393	1667	985	821	736	1200	840
AEN	743	935	1181	841	1877	881	946	458	1032	711
AES	5052	10324	9600	12668	24031	21431	24230	12218	19094	16804
