NAME	DESCRIPTION	Caco2-Ctrl-1_S13	Caco2-Ctrl-2_S1	Caco2-Ctrl-3_S9	Caco2-Oxy-1_S12	Caco2-Oxy-2_S6	Caco2-Oxy-3_S4
A1CF	na	13.508662430104707	12.372113952047432	13.13009652222609	14.053501159422714	14.960347520278875	15.097096775446122
A2M	na	21.933829683486245	20.41985425387851	20.615534866090925	11.680047140317205	10.168174489838831	10.760455413507456
A4GALT	na	0.814034257972853	1.1011955028812719	0.6510110124659791	1.811406176565073	1.4949020651415745	2.0958126418090144
AAAS	na	8.762191047158213	9.503194066908705	8.413967589356037	7.805641827006998	7.585422851620509	8.784146228484968
AACS	na	3.5345703468885423	3.569277803054759	3.4514350287116518	3.6090736801739247	3.57691066222184	3.8086896457615307
AADAC	na	10.268204187885518	9.231109178791826	8.426006504444327	3.727145797123492	2.4534024570198856	2.7167741888802865
AADAT	na	4.982054110159122	4.4960333410754565	4.392609658675375	3.060818677482329	2.173108716340008	2.5828738544788505
AAGAB	na	19.946986867006547	19.610073666515426	20.99556443964254	21.823279075635977	19.380999800997657	17.97701780017578
AAK1	na	1.4519450954005144	1.4361011998385558	1.2830445272401754	2.227826887831298	2.470475503008198	2.3116350290121184
AAMDC	na	7.676556720965829	7.013448897622817	8.34761418770397	11.077409607730091	7.596933070375478	7.244198508692385
AAMP	na	44.625150624808455	44.3580720117099	41.23351533824068	40.72306576941357	41.87040679572312	42.60745718509864
AAR2	na	26.540771896918756	27.029064378148846	26.970578128957918	29.121163758459165	28.63724208101719	29.231240375165108
AARS1	na	110.89107725921016	109.67547114858648	104.73476361205016	127.61322087726427	118.60942414980934	123.62613939817217
AARS2	na	5.373371498354957	5.081640595138583	5.071677932625496	4.641512354754293	4.685532481196674	5.15545921186331
AARSD1	na	0.3529532986782937	0.4991650241192347	0.4569278157585368	0.577476271891916	0.35494891290110875	0.4940097465741373
AASDH	na	4.507273054083027	4.517137989993942	3.78809587982027	2.671417145616028	3.852201742545126	3.0092609183234478
AASDHPPT	na	8.5231542922485	7.551635287674175	7.6240140248673285	4.253536494437591	5.793870565554197	5.639101095160107
AASS	na	4.842062417734972	4.706324308593649	5.1111599895090825	2.447428323385859	2.7710071004050474	2.9464722981442213
AATF	na	12.820820028482862	13.991091654662558	14.073409586047235	14.53670366758605	13.950560917949753	12.617823053598155
AATK	na	5.799492150715276	6.698656875184362	6.0474074505251085	5.574889841402931	7.5692689768700046	8.534800549600867
ABALON	na	0.6557617012466541	0.755669454391517	0.6670233695098349	1.0537500547265837	1.0991156802297763	1.479293505243219
ABAT	na	6.833848185870932	6.274627940066978	6.9190559901671485	5.64307220700312	5.685029597673183	5.840026267953108
ABCA1	na	18.53322722149152	17.38092456418462	17.229120992304352	9.678687392311712	11.003485052952074	10.227963866659811
ABCA17P	na	1.1208758903514218	1.2916455335714585	1.115606337308849	1.0472796596536886	1.3181124135086364	1.1990063147760819
ABCA2	na	6.25385161272045	6.6175012995743625	6.018062694582177	7.766483750445916	8.449666875887955	10.635811125599611
ABCA3	na	3.997675927320561	3.9310821027358296	3.8042773206518534	3.1862571490766394	3.4000073585996367	3.805645560230815
ABCA5	na	3.7755648803440858	3.3307455246944446	3.204930639416558	3.002290711099728	3.342736009934785	3.2519723525811868
ABCA7	na	1.3568935128987518	1.7920956745087029	1.4337652606874323	3.5543601314210616	3.881846010081878	4.285308611299836
ABCB1	na	3.2478978187540486	2.8790209425998925	3.0087603323346457	2.7061894118011818	2.8475100977890273	2.805451799915633
ABCB10	na	12.6562491228455	12.09757424763599	12.970376388356653	16.366168697916134	15.766239784786446	16.68742201829656
ABCB6	na	2.2148613182346915	2.762803019610099	1.829028057892235	2.876619553816243	2.8703405235038635	2.6907013091022787
ABCB7	na	10.147808121202258	10.26404720404527	9.163288115290383	11.227709452425726	10.416863883089572	9.840238885898572
ABCB8	na	1.0311449373165145	1.3129359771471614	1.1632343301633488	0.8734823450644482	0.7233221225392659	1.002591331629049
ABCB9	na	0.19672545606867842	0.21124068144927755	0.20161984276216183	0.28666346195733095	0.3731939391352095	0.3388874324553883
ABCC1	na	2.2436181172220757	2.7029618264366606	2.15048627849606	3.9532157828682832	4.56783148989092	4.654662923364354
ABCC10	na	3.968001786730551	4.0306108600667745	3.9414709027115036	2.3143323818495145	2.7933059362377217	2.671677788199278
ABCC2	na	54.32902238884911	53.291770347262016	52.10879750881345	64.04532020446744	63.23006004683083	60.98415789008883
ABCC3	na	50.2836961798544	50.544846010474636	45.91265185086594	29.872475173373875	31.729308363513667	33.94803202479545
ABCC4	na	8.436089178261915	7.824702007644003	8.401173983068583	4.035825667359583	3.9406325922969483	3.857747684105986
ABCC5	na	2.415672625111512	2.5005181876623155	2.4509530307963114	3.0701260503402814	3.244366224768945	2.891882132431064
ABCC6	na	8.220035985086936	8.811945708640353	7.723663748586443	3.135053753121764	4.768838126358503	4.528179178929545
ABCC6P1	na	5.490401271859462	5.588415318010532	5.467241419721147	3.214536563041607	2.333985899071091	3.5486121284076697
ABCC6P2	na	4.855483819143558	6.231057135220942	5.696536473713903	1.4274709422880636	2.6634201537314914	2.8752136439420974
ABCC9	na	2.813660077273594	2.617445983528181	3.0232918443155716	1.4213318683245433	1.8057792600268519	1.6782486757755892
ABCD1	na	1.0656588162419554	1.2280159312539212	1.1481416493658974	0.5993462439633297	0.775560862072739	1.0960140730977943
ABCD3	na	9.959717121813092	8.784512271570588	9.156901076595942	7.797608161337655	10.406366135758832	9.037357662605226
