	UBE2T	BIRC5	NUF2	CDC6	CCNB1	TYMS	MYBL2	CEP55	MELK	NDC80	RRM2	UBE2C	CENPF	PTTG1	EXO1	ORC6	ANLN	CCNE1	CDC20	MKI67	KIF2C	ACTR3B	MYC	EGFR	KRT5	PHGDH	CDH3	MIA	KRT17	FOXC1	SFRP1	KRT14	ESR1	SLC39A6	BAG1	MAPT	PGR	CXXC5	MLPH	BCL2	MDM2	NAT1	FOXA1	BLVRA	MMP11	GPR160	FGFR4	GRB7	TMEM45B	ERBB2	Subtype
TCGA-A1-A0SB-01A	2.50750194060322	2.17227024653904	0.95290600929912	1.6831615250224998	3.1080668549582007	3.33244784232686	2.98226767274612	1.61360447928025	1.64156468469002	1.21849496228997	2.06840248602023	2.67947109410332	2.28561181357741	2.39089454378552	1.10068482773928	1.00686337112992	2.28098924942721	1.10431850219621	2.91396822343725	2.7098001567397003	2.01294436250855	3.0684837424863	6.943139695837691	4.9970605808414295	8.77350942978814	5.337630447273692	4.30290871614994	4.59354776928726	7.76506792992302	4.85637198773971	7.48502344021749	7.59255175158582	2.02122305567837	5.2193902459406605	3.10686288075215	2.43524581359184	0.0414983118521265	1.76330065562878	1.73493773176522	4.10198556897555	3.11427792447606	0.926850208844922	2.8690650009723	3.896839186319741	1.38796285187001	1.1418746082568798	0.544442738972741	2.94285530040475	0.8750174090642271	5.01407471521987	Normal-like
TCGA-A1-A0SD-01A	3.01615806345231	2.51487128370589	1.50912945807596	1.35401612977102	3.6850350793133	2.12545297240448	3.0474743785925096	2.33370372481058	1.9968534281418504	1.17151954508146	2.55587561621072	3.913873734131701	2.4311957887226	2.63782382358844	0.9642989739859028	0.623979386423067	2.18493264795941	0.895215080541615	2.42745158394687	2.72258883867378	1.53474961078911	1.27964204710541	5.276409342439309	2.25349732526698	6.260355737986151	1.8885769515599495	4.25931823199086	1.0712699760639	7.046601982298549	2.1213678994810103	4.17550877876613	6.46911856405271	5.22281703469993	10.0374285852624	5.75549642041394	3.15579547170677	1.73266350801236	4.84822553867449	6.09365665495748	3.866534309315501	2.9833478690239104	4.90580515661401	6.67711831806687	5.04487834997249	5.631087058428742	3.94216916017319	3.4041767673624506	3.65578277437989	2.75797670379138	5.99904088832668	Luminal A
TCGA-A1-A0SE-01A	4.6269887373106116	3.28904718021249	2.10219011725348	2.1169746870967	4.52595407457828	2.90647028124608	3.7989658112151896	2.7450274347311003	2.4510698454908297	2.07049916921355	2.65521889801527	4.32553860961207	3.98781851073862	3.37351949398583	2.25119258583094	0.5969037421222261	2.7107888268967795	0.850573433444096	4.09424579264647	3.1239642606163103	2.9427106914626604	1.4329792147945202	5.2648089055197005	2.68946498181054	6.24198883956372	3.99869095861642	3.74072659589352	1.5124523831593002	5.3482302024823305	2.44646159650572	6.55218577221518	6.25707118907384	4.19146666520931	8.83240302625808	3.91689343050466	4.84396675968992	4.6476697048574405	5.03560837734042	5.39409381121233	3.97278567654639	3.07717534619802	6.0534508384306385	6.69011442248078	5.843556574113059	5.504525610215241	3.88169098000629	1.03825325908415	3.15608135157062	1.35583690137086	5.58575874547001	Luminal A
TCGA-A1-A0SF-01A	3.41778159006343	2.26284431904484	1.56930116707459	1.8006671574458502	3.82369409980462	2.84395224070161	3.80728202599742	2.1413225820741	2.0823999355845	1.69356803575681	2.53610560287306	4.05953223268522	2.67030621644275	2.60394943804049	1.38711741424905	0.5198071177329939	1.8133496646883704	1.2155108864859	3.92147388083362	2.48285820770795	2.50948768046104	1.59300818820108	4.84468051467658	1.94812333246428	6.164451200797732	1.95533362721777	3.3617306254611403	1.4919889926226202	5.93415590104306	1.44234333964251	5.1383288057561	6.869714942758138	4.82137704360611	7.29115124683983	3.51119706453606	4.15829543781127	4.455273274870709	5.01290407384443	5.755415135193	3.77953683829306	2.7552035971672497	6.883599249017428	6.2809208934846295	5.70541038483382	3.51157213838251	4.374802954188	2.29973468886827	3.0549170322318	1.3156802286506102	5.2156987595230495	Luminal A
TCGA-A1-A0SG-01A	2.9482438406612403	2.29868947348424	1.11628158506244	1.55214239296657	3.58214413997383	2.8863279071928902	2.69731250308075	1.9682334988163603	1.66224141051916	1.28094661235682	2.05504156480275	3.23468841668847	2.28194320571391	2.3158733536662	1.08776176728009	1.69759453639258	2.04783393108463	0.5646585313501801	3.37875743029311	2.09430638303894	2.14006079405807	1.09461898446905	3.10338304940933	1.35185185732752	3.69392346699662	0.808316079915213	2.4017144469526097	0.279909096448555	4.32130923700116	1.02234300054234	2.22311291977071	4.29321332405825	6.01792303659432	8.10031006539274	4.3911881829363	4.01753280242484	5.6833781485039285	5.706513244652821	6.0822184060465805	3.6951585294740097	4.19786868985611	1.8144864862931696	6.28407630039149	4.622443408038491	6.845350463291512	3.38103175984304	3.58628450467873	2.84510712349299	3.35957054909305	5.78606540985958	Luminal A
TCGA-A1-A0SH-01A	3.0970683292173904	2.65963575472847	0.762293473028475	1.32686687514864	3.2568269365467697	2.3536420642219102	2.396729424149	2.10334585351626	1.47751882416476	1.17332428678419	1.74456131638143	2.74977697986132	2.52429408535443	1.62059780946985	1.10014247834489	0.614142168836834	1.69201907251533	0.7586735638906209	2.4492572889285498	2.28023968777272	1.7738624041759898	1.07440183022181	3.67750379899278	2.45561674284888	5.12076380198365	2.10707680577079	3.28469893938744	1.10164095712247	5.725152550784769	1.9110157503605905	4.87515161510592	6.1724419264113	2.62693997193663	7.5971267043602895	3.75426775055565	1.69800418060891	4.07311682936434	3.97525500180974	3.99195514728985	3.32850067380687	3.18857668639221	3.0206587474174	6.23797133688452	5.46748118683689	6.71503642801366	5.14622957364852	4.21678776305392	2.82915634617527	2.73218121352979	6.55313981224841	Luminal A
TCGA-A1-A0SI-01A	4.9863919045749405	3.6367872100719305	2.86814625309696	2.08040741360931	4.9338701703498895	3.23835488998183	5.53726851813997	3.3914018889298903	3.38559191079778	2.04553842570039	3.57882387450993	5.16634685914422	4.20807344349174	3.10948937289776	2.9524432617004703	1.09776238911835	3.34996138722504	2.07733911913345	4.533846479241031	3.8226525535744313	3.5606491570313	1.06228920601091	3.03837033372066	1.6933215411691898	2.8549891379398	4.63311531470697	2.32040848775779	0.18597903973834895	4.66634914099537	1.32050356040797	2.93925434048283	3.78246286573839	4.06229200291449	5.4984850054793	2.74479513743592	2.97485084114531	1.0422808027502	3.53626487014432	5.06486504270448	2.0281936149789	2.49318851351323	4.05768354736363	6.07689353977443	5.450048817446	6.42042122694492	5.43572294015289	1.94998308853804	2.2251876426916604	2.85906549856107	4.54872804726758	Luminal B
TCGA-A1-A0SJ-01A	4.60565803039699	3.64460083160368	2.65154407829375	2.71721489428336	5.06412056565656	3.567534240006529	5.71494306318656	2.57665353866456	2.57816164224795	1.60512062056946	4.08039151111076	5.97431674093284	2.84469106712171	3.6650966939450895	1.84323662928474	1.64407305956823	3.40579869701824	1.6179541176655	4.38710769408022	3.51556171122373	3.19364400894265	0.930308360993618	4.81357975129034	2.3860844609092595	5.99933595525538	2.12536848198026	3.1672045399874103	0.940423391129316	6.3533294328669285	1.96434521386112	4.50041370655928	6.3391151618377	4.2666074462539	9.9998514412762	2.6812688963763	0.894085549658539	3.78739970819135	6.2332636269155	5.068455578189661	4.561556858891549	6.04385158335084	2.52464539589249	6.38416071944081	6.60212958664423	5.21485718092972	3.5381942725484903	1.57975964888357	3.91110050377147	3.75346815209652	5.59233905157478	Luminal A
TCGA-A1-A0SK-01A	6.21581553505754	4.60215777753447	4.02981263055989	4.1295814527711805	5.3235069472924605	6.37500800445945	6.276517943164308	3.9265600025572	4.4466968443955315	4.3611312736289	5.0616795179429115	6.8813875430079605	4.64148596269537	4.94422090195618	2.3476469319855497	2.30948270939105	4.60088258567847	3.60314074697126	5.82562443416966	5.120278829939911	4.66581733602416	3.1138875250864704	6.42533647881762	2.10444857279347	4.50031505754161	6.232416617217711	2.90193630106224	0.110486573649114	3.21433102989757	1.02487750170474	6.1844235320216505	0.722481582438826	0.0554236072665859	5.83842289203035	3.48240356531056	0.6889917424798261	0.037248484403660014	3.9248550435084506	1.5163999191396298	5.19537400572349	2.98798842895238	0.13525170592026595	4.7055658249809005	3.2676419402047	3.99808056799015	0.9345537030037828	0.2953806697418029	3.52340951063509	2.49909506840958	1.33171941135601	Triple-negative
TCGA-A1-A0SM-01A	4.44062600913856	4.03659278851393	2.25411002820693	6.228058446005878	4.45530494925489	3.36906628929833	3.46922922788087	2.99951870475994	2.9270910367426097	2.42186732372604	3.63122547434419	4.885084384938169	3.42507622077075	3.3981171778311605	2.20599592147315	0.8369156388258009	3.0812042424083703	1.74228950127142	4.25871451563217	2.73447097860481	3.32171772633463	1.1216201265598502	3.21671317217871	1.7954790368081102	3.26468608886936	3.49997440388313	2.9318825922702496	0.261703563527221	3.95930445117388	1.44233166487613	2.07637127358478	3.41574317217375	4.553953868696111	7.08017128290487	3.69423399793522	1.4161837219907298	0.388732550848914	5.51183214901396	6.08101396392002	1.92598986257129	3.21604751751413	4.4377350358066	7.3149405866507005	5.28543754414555	6.87328680465533	4.1412822436728	1.86729892497107	6.94704777104969	3.30275929326119	9.92798172067072	Luminal A
